Z, m		POM concentration, kg/m^3
94.10133	5.59821E-06
138.9052	4.01743E-06
139.936		5.72512E-06
141.1617	5.27917E-06
141.4923	4.90409E-06
184.6458	3.45342E-06
187.8641	3.04195E-06
188.1031	3.83075E-06
189.1902	3.5377E-06
190.4697	4.2957E-06
230.2729	3.2104E-06
237.8774	2.55701E-06
239.1686	3.45956E-06
286.0393	2.85598E-06
382.1577	2.8452E-06
419.9552	2.47513E-06
420.3858	2.56762E-06
510.6921	2.36522E-06
548.6002	4.55214E-06
620.638		1.9046E-06
668.8		2.20357E-06
714.0448	1.82882E-06
795.5419	1.96584E-06
955.2601	1.5603E-06
968.7196	2.30614E-06
990.0003	3.87578E-06
1003.521	1.30645E-06
1019.038	1.89551E-06
1177.706	1.69657E-06
1332.798	1.60531E-06
1434.541	1.11197E-06
1508.222	1.43805E-06
1598.03	2.49842E-06
1780.267	1.88514E-06
1873.009	1.18071E-06
1947.574	4.06162E-06
2008.334	3.60744E-06
2103.246	9.29134E-07
2209.982	1.00209E-06
2306.306	5.92061E-07
2387.421	1.45337E-06
2430.371	8.98574E-07
2443.967	1.52886E-06
2734.867	7.33462E-07
3007.068	9.17531E-07
3252.267	1.068E-06
3302.498	5.94677E-07
3304.095	5.56839E-07
3594.355	6.15779E-07
3599.716	5.47681E-06
3603.406	8.71145E-07
3905.567	1.09363E-06
4253.468	3.41843E-07
4448.061	1.48563E-06
4492.851	1.86835E-06
4778.581	3.10051E-06
