Z, m	Flux, kg/m^2/s
97.705	5.43709E-10
117.095	3.9016E-10
117.941	4.45158E-10
127.504	9.34996E-10
131.181	8.072E-10
137.202	3.33439E-10
146.320	3.0625E-10
147.747	4.67489E-10
153.252	3.4288E-10
194.243	2.40005E-10
197.090	2.76357E-10
271.185	3.57618E-10
273.385	2.96206E-10
295.703	1.46378E-10
297.901	3.25681E-10
393.666	1.94214E-10
399.506	1.70088E-10
499.158	1.02215E-10
525.595	2.97556E-10
547.388	9.95653E-11
594.138	1.65294E-10
600.014	1.53355E-10
653.854	1.07376E-10
699.423	8.46886E-11
702.457	1.32637E-10
704.822	4.84747E-11
748.636	1.23193E-10
750.653	3.036E-10
754.824	1.41962E-10
754.863	1.07962E-10
798.921	8.60385E-11
811.152	7.83213E-10
900.652	1.56978E-10
901.928	4.49417E-11
903.112	8.33982E-11
978.689	9.86364E-10
1000.609	1.35779E-10
1002.743	9.50227E-11
1006.173	6.19125E-11
1102.808	5.10355E-11
1011	9.34858E-11
1012	1.46834E-10
1018	6.22167E-11
1114	4.91489E-11
1491	4.72731E-11
1502	7.02019E-11
1503	1.10217E-10
1561	3.38838E-11
1982	4.06802E-11
2000	5.24071E-11
2001	5.35283E-11
